ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
1487,サンドイッチラリアット,Sandwich Lariat,腕力,馬力,ラリ,ラリ,28,8,,16,,,,,○,○,○,必殺,,,
1488,Ｗ．ドロップキック,Double Dropkick,瞬発,蹴り,飛び,蹴り,20,4,,,,,,○,,○,○,,,,
1489,サンドイッチ延髄斬り,Sandwich Enzuigiri,瞬発,蹴り,蹴り,蹴り,26,12,,14,,,,○,,○,○,必殺,,,
1490,Ｗ．ブレーンバスター,Double Brainbuster,投げ,瞬発,投げ,投げ,26,4,,,,10,,○,○,○,,,,,
1491,合体カッター,Cutter Combo,瞬発,馬力,叩き,叩き,30,12,2,10,,,,,○,○,○,必殺,,,
1492,合体パワーボム,Powerbomb Combo,馬力,腕力,叩き,叩き,32,6,,10,,4,,,○,,○,,,,
1493,パワーボム＋ネックブリーカードロップ,Bomb Neckbreaker Drop Combo,馬力,瞬発,叩き,叩き,30,7,,12,,3,,,○,,○,,,,
1828,フライングニールキック＋水面蹴り,Kneel Kick Sweep Kick Combo,瞬発,蹴り,蹴り,蹴り,30,10,,8,,,6,○,,○,○,必殺,,,
1829,大外刈りバスター＋水面蹴り,Oosotogari Sweep Kick Combo,投げ,蹴り,叩き,蹴り,32,10,,12,,,6,,○,○,○,必殺,,,
1830,大外刈りバスター＋バックドロップ,Oosotogari Backdrop Combo,投げ,投げ,投げ,叩き,36,17,,18,,,,,○,,○,必殺,,,
6172,ゴールデントリガー,Golden Trigger,蹴り,瞬発,ラフ,蹴り,30,14,,16,,,,,○,,○,必殺,,,
6173,ブリッジクラッシュネックブリーカー,Bridge Crush Neckbreaker,馬力,瞬発,叩き,叩き,32,11,1,6,,4,,,○,○,○,必殺,,,
6174,３Ｋ,3K,瞬発,馬力,叩き,叩き,30,12,2,4,,2,,,○,,○,必殺,,,
