ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
2174,フロントハイキック,Front High Kick,馬力,蹴り,蹴り,蹴り,32,5,,1,,,,,,○,○,,,,
2175,ハイキック,High Kick,蹴り,蹴り,蹴り,蹴り,29,5,,4,,,,,,○,○,,,,
2176,叩きつけラリアットアタック,Striking Lariat,瞬発,腕力,ラリ,ラリ,29,1,,8,,,,,○,,○,,,,
2177,フットボールタックル,Football Tackle,馬力,瞬発,叩き,ラフ,36,2,,,,,,○,,○,○,,,,
2178,ドロップキック,Dropkick,瞬発,蹴り,飛び,蹴り,34,4,,,,,,○,,○,○,,,,
2179,ジャンピングハイキック,Jumping High Kick,瞬発,蹴り,蹴り,蹴り,26,5,,7,,,,○,,○,○,,,,
2180,フライングニールキック,Flying Kneel Kick,瞬発,蹴り,蹴り,蹴り,33,5,,,,,,○,,○,○,,,,
2181,ヘッドバット,Headbutt,ラフ,馬力,ラフ,ラフ,26,9,,2,,,,○,,○,,,1%,,
2182,ローリング袈裟斬りチョップ,Rolling Kesagiri Chop,突き,突き,突き,突き,28,4,,6,,,,○,○,○,,,,,
2183,ローリングラリアット,Rolling Lariat,腕力,瞬発,ラリ,ラリ,27,3,,8,,,,,○,,○,,,,
2184,スーパー・キック,Super Kick,瞬発,蹴り,蹴り,蹴り,24,8,,6,,,,,,○,○,,,,
2185,ローリングエルボー,Rolling Elbow,突き,突き,突き,突き,26,5,,7,,,,○,○,○,,,,,
