ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
1103,串刺し頭突き連打,Corner Headbutt Rush,ラフ,馬力,ラフ,ラフ,25,6,,4,,,,○,,○,,,1%,,
1104,串刺し喉笛チョップ,Corner Throat Chops,突き,ラフ,ラフ,突き,18,6,,5,,,,,○,○,,,,,
1105,串刺し胸張り手,Corner Chest Slaps,突き,突き,突き,突き,18,4,,,,,,,○,○,,,,,
1106,串刺しマシンガン逆水平チョップ,Corner Auto Chops,突き,突き,突き,突き,20,3,,,,,,,○,○,,,,,
1107,突っ張り電車道,Tsuppari Rush,突き,馬力,突き,突き,26,6,,2,,,,,○,○,,,,,
1108,コーナー馬乗りナックルアロー,Mount Knuckle Arrow,ラフ,突き,ラフ,突き,21,8,,4,,,,,○,○,,,1%,,
1109,串刺しボディブロー,Corner Body Blow,突き,突き,突き,突き,17,4,,,,,,,○,○,,,,,
1110,串刺しパンチラッシュ,Corner Punch Rush,ラフ,突き,ラフ,突き,28,6,,5,,,,,○,○,,,,,
1111,串刺し腕パンチラッシュ,Forearm Hammers Rush,突き,馬力,突き,突き,28,8,,7,,,,,○,○,,,,,
1112,串刺しハンマーブロー,Corner Hammer Blow,腕力,突き,突き,突き,20,3,,,,,,,○,○,,,,,
1113,串刺しショルダー,Corner Shoulder,馬力,瞬発,叩き,叩き,18,3,,,,,,○,○,○,,,,,
1114,串刺しニーリフト,Corner Knee Lift,ラフ,蹴り,ラフ,蹴り,22,5,,4,,,,,,○,○,,,,
1115,コーナー踏みつけ,Corner Stomping,ラフ,馬力,ラフ,ラフ,15,7,,,,,,,,○,○,,,,
1116,串刺しストンピング,Corner Stomping Rush,ラフ,馬力,ラフ,ラフ,18,4,,,,,,,,○,○,,,,
1117,顔面ウォッシュ,Face Wash,ラフ,蹴り,ラフ,ラフ,12,10,,2,,,,,,○,○,,,,
1118,串刺し低空ドロップキック,Corner Low Drop Kick,ラフ,蹴り,テク,ラフ,3,5,,,,,12,○,,○,○,必殺,,,
1119,串刺し浴びせ蹴り,Corner Rolling Koppo Kick,瞬発,蹴り,蹴り,蹴り,20,5,,6,,,,○,,○,○,必殺,1%,,
1120,カーフブランディング,Calf Branding,ラフ,馬力,叩き,ラフ,25,9,,10,,,,,○,,○,必殺,1%,,
1121,ロープ渡り,Rope Walking,テク,テク,テク,テク,10,11,,2,,,,,,,○,,,,
1122,拝みロープ渡り,Praying Rope Walking,テク,テク,テク,テク,10,12,,2,,,,,,,○,,,,
1123,ギロチンホイップ,Guillotine Whip,腕力,馬力,叩き,叩き,14,6,4,12,,,,,○,,○,,,,
1124,ダイヤモンドダスト,Diamond Dust,馬力,瞬発,叩き,叩き,28,13,,8,,,,,○,○,○,必殺,,,
1125,バーニングハンマー,Burning Hammer,馬力,瞬発,叩き,叩き,32,8,,13,,,,,○,○,○,必殺,,,
1126,ターンバックルオクラホマスタンピード,Turnbuckle Stampede,馬力,腕力,叩き,叩き,28,5,2,,,12,,,○,,○,,,,
1127,串刺しカナディアンバックブリーカー,Corner Backbreaker,腕力,馬力,叩き,叩き,25,4,3,,,,,,○,,○,,,,
1128,リバーススプラッシュ,Reverse Splash,馬力,瞬発,飛び,飛び,26,6,3,,,,,,○,○,○,必殺,,,
