ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
875,エルボーバット,Elbow Butt,突き,突き,突き,突き,10,6,,,,,,,○,○,,,,,
876,暴れる,Rumble,ラフ,馬力,ラフ,ラフ,6,5,,,,,,,○,,,,,,
877,カンガルーキック,Kangaroo Kick,瞬発,蹴り,蹴り,蹴り,10,7,,,,,,○,,○,○,,,,
878,オーバーヘッドキック,Overhead kick,瞬発,蹴り,蹴り,蹴り,20,6,,10,,,,○,,○,○,必殺,,,
879,後ろ急所蹴り,Back Low Blow,ラフ,ラフ,ラフ,ラフ,7,10,,,,,,,,,○,,,,○
880,脇固め,Wakigatame,テク,関節,テク,関節,1@,1@,,,3@,,,,○,,,関節,,○,
881,アームロック,Armlock,関節,関節,関節,関節,1@,1@,,,4@,,,,○,,,関節,,○,
882,前転裏膝十字固め,Rolling Cross Legbreaker,関節,テク,関節,テク,1@,2@,,,,,4@,,○,,,関節,,○,
883,前方回転エビ固め,Rolling Pin Fall,テク,瞬発,テク,テク,2,10,4,,,,,○,,○,○,テク,,,
884,サイドクラッチ,Side Clutch,テク,テク,テク,テク,,12,4,,,,,,,,,テク,,,
885,元祖カッター,Original Cutter,瞬発,馬力,叩き,叩き,15,6,,8,,,,○,○,,,,,,
886,フライングメイヤー,Flying Mare,投げ,投げ,投げ,投げ,9,4,,,,,,,○,○,,,,,
887,一本背負い,Ipponzeoi,投げ,瞬発,投げ,投げ,10,4,,,,2,,,○,○,,,,,
888,アームホイップ,Arm Whip,腕力,馬力,投げ,投げ,10,1,,,,1,,,○,○,,,,,
889,バックプレス,Back Press,馬力,馬力,叩き,叩き,10,6,1,,,2,,,,○,,,,,
890,河津落とし,Russian Legsweep,投げ,投げ,投げ,投げ,18,2,,5,,3,,○,○,,○,,,,
891,ココナッツクラッシュ,Coconut Crush,馬力,馬力,叩き,叩き,13,5,,1,,,,,○,,○,,1%,,
892,ブルドッキングヘッドロック,Bulldogging Headlock,瞬発,馬力,叩き,叩き,18,5,,4,,,,,○,,○,,,,
893,レッグスピン,Leg Spin,テク,テク,テク,テク,5,7,,,,,2,,,○,○,,,,
894,バックに回る,Back Switch,テク,テク,テク,テク,,7,,,,,,,,,,,,,
895,捻り上げアームロック,Rolling Arm Lock,関節,関節,関節,関節,1@,2@,,,4@,,,,○,,,関節,,○,
1706,リバースチンクラッシャー,Reverse Chin Crusher,ラフ,瞬発,ラフ,ラフ,15,6,,8,,,,○,○,○,,,,,
