ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
335,ダイビングフィストドロップ,Diving Fistdrop,瞬発,ラフ,飛び,ラフ,19(5),6(5),1,,(6),,,,○,,○,必殺,,,
336,ダイビングエルボードロップ,Diving Elbowdrop,瞬発,馬力,叩き,飛び,24(7),6(4),3,,(4),(5),,○,○,,○,必殺,,,
337,ダイビング背面エルボードロップ,Diving Back Elbowdrop,馬力,瞬発,叩き,飛び,24(7),6(4),3,,(3),(6),,○,○,,○,必殺,,,
338,アピールダイビングエルボードロップ,Appeal Diving Elbowdrop,瞬発,馬力,飛び,叩き,25(7),7(5),4,,(4),(5),,○,○,,○,必殺,,,
339,ダイビングニードロップ,Diving Kneedrop,瞬発,馬力,叩き,飛び,21(7),7(5),2,,,,(8),,,○,○,必殺,,,
340,ダイビングダブルニードロップ,Diving Double Kneedrop,瞬発,馬力,叩き,飛び,24(7),8(7),2,,,,(10),,,○,○,必殺,,,
341,ダイビングギロチンドロップ,Diving Guillotine Drop,瞬発,馬力,叩き,飛び,25(7),7(5),3,,,(3),(3),,,○,○,必殺,,,
342,ダイビングローリングギロチンドロップ,Diving Rolling Guillotine Drop,瞬発,馬力,叩き,飛び,29(10),10(6),4,,,(5),(3),,,○,○,必殺,,,
343,ダイビングフットスタンプ,Diving Foot Stomp,馬力,瞬発,叩き,飛び,18,8(2),4,,,,(3),,,○,○,必殺,,,
344,ダイビングヘッドバット,Diving Headbutt,瞬発,馬力,叩き,飛び,21(7),7(5),2,(6),,,,○,,,,必殺,,,
345,拝みダイビングヘッドバット,Prayer Diving Headbutt,瞬発,馬力,叩き,飛び,23(7),8(6),2,(7),,,,○,,○,○,必殺,,,
346,スーパーダイビングヘッドバット,Super Diving Headbutt,瞬発,馬力,叩き,飛び,25(7),10(6),3,(10),,,,○,,○,○,必殺,1%,,
347,トペ・アトミコ,Tope Atomico,瞬発,馬力,叩き,飛び,25(9),8(5),5,,,(8),,○,,○,○,必殺,,,
348,ダイビングセントーン,Diving Senton,瞬発,馬力,叩き,飛び,26(9),8(5),4,,,(7),,○,,○,○,必殺,,,
349,サマーソルトドロップ,Somersault Drop,瞬発,馬力,叩き,飛び,27(9),8(5),4,,,(8),,○,,○,○,必殺,,,
350,ローリングセントーン,Rolling Senton,瞬発,馬力,飛び,叩き,28(10),9(6),4,,,(8),,○,,○,○,必殺,,,
351,セントーン・アトミコ,Senton Atomico,瞬発,馬力,飛び,叩き,27(9),10(6),4,,,(8),,○,,○,○,必殺,,,
352,ダイビングボディプレス,Diving Body Press,瞬発,馬力,飛び,叩き,26(10),7(5),4,,,,(5),○,,○,○,必殺,,,
353,スーパーヘビー・ダイビングボディプレス,Heavyweight Diving Body Press,馬力,瞬発,叩き,飛び,26(10),7(5),4,,,,(5),○,,○,○,必殺,,,
354,屈伸式ダイビングボディプレス,Frog Splash,瞬発,馬力,飛び,叩き,26(10),10(6),4,,,,(5),○,,○,○,必殺,,,
355,開脚跳びスプラッシュ,Vaulting Frog Splash,瞬発,馬力,飛び,叩き,26(10),11(6),4,,,,(5),○,,○,○,必殺,,,
356,ムーンサルトプレス,Moonsault Press,瞬発,馬力,飛び,叩き,28(12),10(6),4,,,,(6),○,,○,○,必殺,,,
357,旋回式ボディプレス,Turning Body Press,瞬発,馬力,飛び,叩き,27(11),9(6),4,,,,(6),○,,○,○,必殺,,,
358,ラウンディングボディプレス,Rounding Body Press,瞬発,馬力,飛び,叩き,28(3),12(6),4,,,,(2),○,,○,○,必殺,,,
359,ファイヤーバードスプラッシュ,Firebird Splash,瞬発,馬力,飛び,叩き,28(12),8(6),4,,(4),,(3),○,,○,○,必殺,,,
360,捻り式ムーンサルトプレス,Twisting Moonsault Press,瞬発,馬力,飛び,叩き,28(12),11(6),4,,,,(3),○,,○,○,必殺,,,
361,シューティングスタープレス,Shooting Star Press,瞬発,馬力,飛び,叩き,29(12),11(6),4,,,,(5),○,,○,○,必殺,,,
362,フェニックススプラッシュ,Phoenix Splash,瞬発,馬力,飛び,叩き,30(12),12(6),4,,(4),,(3),○,,○,○,必殺,,,
363,スレッジハンマー,Sledgehammer,腕力,突き,飛び,突き,18,5(2),,,,,(2),,○,,○,必殺,,,
364,ダイビングエルボーアタック,Diving Elbow Attack,瞬発,突き,飛び,突き,20(8),8(6),,8,,,(2),○,○,,○,必殺,,,
365,ダイビングラリアット,Diving Lariat,瞬発,腕力,飛び,ラリ,22(8),6(6),,10,,,(2),○,○,,○,必殺,,,
366,ダイビングネックブリーカードロップ,Diving Neckbreaker Drop,瞬発,馬力,飛び,叩き,26(10),6(6),,12,,(4),,○,○,,○,必殺,,,
367,ダイビングショルダーアタック,Diving Shoulder Attack,瞬発,馬力,飛び,叩き,24(8),6(6),,,,,(6),○,○,,○,必殺,,,
368,ダイビングボディアタック,Diving Body Attack,瞬発,馬力,飛び,叩き,24(8),6(6),,,,,(3),○,,○,○,必殺,,,
369,ムーンサルトアタック,Moonsault Attack,瞬発,馬力,飛び,叩き,26(10),8(6),,,,,(6),○,,○,○,必殺,,,
370,ダイビングヒップアタック,Diving Hip Attack,瞬発,馬力,叩き,飛び,23(4),7(5),,,,,(3),,,○,○,必殺,,,
371,トペ・コン・ヒーロ,Tope con Giro,瞬発,馬力,飛び,叩き,24(8),8(6),,,,(6),,○,,○,○,必殺,,,
372,ダイビングフロントハイキック,Diving Front High Kick,馬力,蹴り,飛び,蹴り,24(8),8(6),,,,,(1),,,○,○,必殺,,,
373,ミサイルキック,Missile Kick,瞬発,蹴り,飛び,蹴り,22(6),6(5),,,,(4),,○,,○,○,必殺,,,
375,前方回転ミサイルキック,Somersault Missile Kick,瞬発,蹴り,飛び,蹴り,26(8),9(6),,,,(4),,○,,○,○,必殺,,,
376,ダイビングニールキック,Diving Kneel Kick,瞬発,蹴り,飛び,蹴り,24(8),6(5),,4,,(4),,○,,○,○,必殺,,,
377,ダイビング延髄斬り,Diving Enzuigiri,瞬発,蹴り,飛び,蹴り,20(6),10(6),,10,,(4),,○,,○,○,必殺,,,
378,ダイビングニーアタック,Diving Knee Attack,馬力,瞬発,飛び,叩き,23(8),9(6),,8,,,(1),,,○,○,必殺,,,
379,ダイビング延髄ニードロップ,Diving Enzui Kneedrop,瞬発,馬力,叩き,飛び,20(4),9(6),,12,,,(3),,,○,○,必殺,,,
380,スーパーウラカン・ラナ,Super Huracanrana,瞬発,テク,テク,テク,12(8),12(7),4,3,,(4),,○,,○,○,必殺,,,
381,高速ウラカン・ラナ,Rapid Huracanrana,瞬発,テク,テク,テク,12(8),13(8),4,3,,(4),,○,,○,○,テク,,,
382,スイングフランケンシュタイナー,Swinging Frankensteiner,瞬発,テク,飛び,テク,14(8),12(7),4,6,,(4),,○,,○,○,テク,,,
383,飛びつきスイングＤＤＴ,Flying Tornado DDT,瞬発,馬力,飛び,叩き,26(8),12(7),,16,,(4),,○,○,○,,必殺,,,
384,前転飛びつきウラカン・ラナ,Rolling Huracanrana,瞬発,テク,飛び,テク,16(8),16(9),4,8,,(5),,,,,,テク,,,
1602,ムーンサルトフットスタンプ,Moonsault Foot Stomp,瞬発,馬力,飛び,叩き,26(12),12(6),5,,,,(4),,○,○,○,必殺,,,
1603,元祖エビ反り式ダイビングボディプレス,Orig. Arched Diving Body Press,瞬発,馬力,飛び,叩き,27(12),11(6),4,,,,(5),○,,○,○,必殺,,,
1604,ダイビングブレーンチョップ,Diving Brain chop,突き,突き,飛び,突き,17,6(2),,,,,(2),,○,,○,必殺,,,
1605,低空ミサイルキック,Low Missile Kick,瞬発,ラフ,飛び,蹴り,5(6),8(5),,,,,15(5),,,○,○,必殺,,,
1606,スイング式ダイビングフランケンホイップ,Swing Hurricane Rana,瞬発,テク,飛び,テク,14(8),15(7),3,6,,2(4),,○,,○,○,,,,
1607,スーパーダイビングフットスタンプ,Super Diving Foot Stomp,瞬発,馬力,飛び,叩き,20,10(4),4,,,,(3),,,○,○,必殺,,,
1608,コークスクリューシューティングスター,Corkscrew Shooting Star Press,瞬発,馬力,飛び,叩き,31(12),14(8),4,,,,(6),○,,○,○,必殺,,,
1609,ダイビングローリングネックブリーカー,Diving Neckbreaker,瞬発,馬力,飛び,叩き,28(11),8(6),,14,,(8),,○,○,,○,必殺,,,
1610,ファイヤースタースプラッシュ,Fire Star Splash,瞬発,馬力,飛び,叩き,32(12),13(8),4,,(4),,(3),○,,○,○,必殺,,,
1611,片足ミサイルキック,One-Leg Missile Kick,瞬発,蹴り,飛び,蹴り,20(5),8(5),,,,(2),,○,,○,○,必殺,,,
2045,ハイフライフロー,High Fly Flow,瞬発,馬力,飛び,叩き,28(12),10(6),4,,,,(5),○,,○,○,必殺,,,
