ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
765,延髄ジャンピングヘッドバット,Jump Back Headbutt,ラフ,馬力,ラフ,ラフ,17,5,,3,,,,○,,○,○,,1%,,
766,延髄踏み込み掌底,Enzui Shoutei,突き,腕力,突き,ラリ,16,4,,12,,,,,○,○,○,,,,
767,延髄袈裟斬りチョップ,Enzui Kesagiri Chop,突き,馬力,突き,突き,18,4,,11,,,,,○,○,,,,,
768,延髄ラリアット,Enzui Lariat,腕力,馬力,ラリ,ラリ,20,4,,10,,,,,○,○,,,,,
769,マシンガンニーリフト,Rapid Knee Lift,蹴り,蹴り,蹴り,蹴り,21,2,,,,,,,,○,○,,,,
770,バックタックル,Back Tackle,総合,瞬発,総合,テク,10,2,,,,1,,○,,○,○,,,,
771,フェイスクラッシャー,Face Crusher,瞬発,馬力,叩き,叩き,12,3,,2,,,,,○,,○,,,,
772,リバースＤＤＴ,Reverse DDT,瞬発,馬力,叩き,叩き,20,4,,12,,,,,○,,○,必殺,,,
773,リバースブレーンバスター,Reverse Brainbuster,腕力,投げ,投げ,投げ,22,4,,,,,,○,○,,○,必殺,,,
774,バックドロップ,Backdrop,投げ,瞬発,投げ,投げ,24,2,,5,,2,,○,○,○,,必殺,,,
775,抱え式バックドロップ,Leg Lift Backdrop,投げ,腕力,投げ,投げ,24,2,,5,,2,,○,○,○,,必殺,,,
776,低空抱え式バックドロップ,Low Lift Backdrop,腕力,投げ,投げ,投げ,24,2,,5,,2,,○,○,○,,必殺,,,
777,ジャンピングバックドロップ,Jumping Backdrop,投げ,瞬発,投げ,投げ,25,3,,5,,3,,○,○,,○,,,,
778,ローリングバックドロップ,Rolling Backdrop,投げ,投げ,投げ,投げ,24,3,,6,,2,,○,○,○,,,,,
779,捻り式バックドロップ,Twisted Backdrop,投げ,瞬発,投げ,投げ,26,3,,8,,,,○,○,○,,必殺,,,
780,急降下バックドロップ,Sheer-Drop Backdrop,腕力,投げ,投げ,投げ,26,4,,7,,3,,○,○,,○,必殺,,,
781,ワンハンドバックブリーカー,1-Hand Backbreaker,腕力,馬力,叩き,叩き,15,2,,,,10,,,○,,○,,,,
782,ペンデュラムバックブリーカー,Pendulum Backbreaker,腕力,馬力,叩き,叩き,16,2,,,,10,,,○,,○,,,,
783,サイドバスター,Side Buster,腕力,馬力,叩き,叩き,18,3,,,,7,,,○,,○,,,,
784,ニークラッシャー,Knee Crusher,関節,腕力,関節,関節,4,3,,,,,10,,○,○,,関節,,,
785,アトミックドロップ,Atomic Drop,馬力,腕力,叩き,叩き,15,3,,,,5,,,○,,○,,,,
786,ハイアングルアトミックドロップ,Angle Atomic Drop,腕力,馬力,叩き,叩き,17,4,,,,7,,,○,,○,,,,
787,アトミックホイップ,Atomic Whip,腕力,馬力,投げ,投げ,18,3,,,,5,,,○,,○,,,,
1678,延髄ローリング逆水平,Enzui Rolling Chop,突き,瞬発,突き,突き,14,5,,8,,,,,○,○,,,,,
1679,膝裏タックル,Chop Block,馬力,ラフ,叩き,ラフ,2,4,,,,,12,,○,○,○,,,,
1680,背面ネックブリーカードロップ,Back Neckbreaker,投げ,瞬発,投げ,投げ,16,4,,8,,,,○,○,○,,,,,
1681,抱え倒し,Takedown,投げ,投げ,投げ,投げ,14,4,1,,2,,2,,○,○,○,,,,
1682,リップロック,Lip Lock,エン,エン,エン,エン,1@,4@,3@,,,,,,○,,,必殺,,○,
2103,ワンハンドバックブリーカーＢ,1-Hand Backbreaker B,腕力,馬力,叩き,叩き,15,2,,,,10,,,○,,○,,,,
6102,クイックバックブリーカー,Quick Backbreaker,瞬発,馬力,叩き,叩き,16,2,,10,,,,,○,,○,必殺,,,
