ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
1204,三角絞め,Triangle Scissors,絞め,絞め,絞め,絞め,6@,3@,4@,2@,,,,,○,,○,関節,,○,
1205,アームロック,Arm Lock,関節,関節,関節,関節,2@,4@,,,8@,,,,○,,,関節,,○,
1206,腕ひしぎ逆十字固め,Cross Armbreaker,関節,関節,関節,関節,2@,2@,,,9@,,,,○,,○,関節,,○,
1207,小包固め,Small Package Hold,テク,テク,テク,テク,,18,6,,,,,,○,,○,テク,,,
1208,ウラカン・ラナ,Huracanrana,瞬発,テク,テク,テク,6,15,6,,,,,○,,○,○,テク,,,
1209,弾き飛ばし,Bash,腕力,馬力,叩き,叩き,16,8,1,,,,,,○,,○,,,,
1210,バックに回る,Back Switch,総合,テク,総合,テク,,14,,,,,,,○,,○,,,,
1211,フロントネックロック,Front Necklock,絞め,腕力,絞め,絞め,2@,2@,2@,4@,,,,,○,,,必殺,,○,
1766,足挟みパンチ,Leg Clip Punch,総合,突き,総合,突き,4@,4@,,2@,,,,,○,○,○,,1%,○,○
1767,変化式腕ひしぎ逆十字固め,Changing Cross Armbreaker,関節,関節,関節,関節,2@,4@,,,8@,,,,○,,○,関節,,○,
1768,ダブルアームバー,Double Arm Bar,関節,テク,関節,テク,1@,1@,,,5@,,,,○,,○,関節,,○,
1769,スタンディング式腕ひしぎ逆十字固め,Standing Cross Armbreaker,関節,関節,関節,関節,2@,2@,,,9@,,,,○,,○,関節,,○,
