ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
898,ヘッドドロップ（顔面）,Head Drop (Face),ラフ,馬力,ラフ,ラフ,3,3,,1,,,,○,,,,,1%,,
899,ヘッドドロップ（腹）,Head Drop (Belly),ラフ,馬力,ラフ,ラフ,3,3,1,,,,,○,,,,,,,
900,馬乗りヘッドバット,Mount Headbutt,ラフ,突き,ラフ,突き,2@,2@,,1@,,,,○,○,,,,1%,,
901,ジャンピングフィストドロップ,Jumping Fist Drop,ラフ,突き,ラフ,突き,3,2,,,,,,,○,,○,,,,
902,馬乗りパンチ,Mount Punches,総合,突き,総合,突き,1@,3@,,1@,,,,,○,○,,必殺,1%,○,○
903,馬乗りナックルアロー,Mount Knuckle Arrow,ラフ,突き,ラフ,突き,1@,2@,,1@,,,,,○,○,,,1%,,
904,馬乗り掌底,Mount Shoutei,突き,ラフ,突き,ラフ,2@,1@,,1@,,,,,○,○,,,,,
905,エルボードロップ,Elbow Drop,ラフ,馬力,ラフ,ラフ,3,1,,,,,,,○,,,,,,
906,ジャンピングエルボードロップ,Jumping Elbow Drop,瞬発,馬力,突き,突き,4,2,,,,,,,○,,○,,,,
907,フラッシングエルボー,Flashing Elbow,瞬発,馬力,突き,突き,4,2,,,,,,,○,,○,,,,
908,顔面肘グリ,Face Elbow,ラフ,ラフ,ラフ,ラフ,1@,3@,,1@,,,,,○,,,,,,
909,セントーン,Senton,瞬発,馬力,飛び,飛び,8,2,1,,,,,,,○,○,,,,
910,サンセットフリップ,Sunset Flip,瞬発,馬力,飛び,飛び,8,2,1,,,,,○,,○,○,,,,
911,ニードロップ（顔面）,Knee Drop (Face),ラフ,馬力,ラフ,ラフ,5,2,,1,,,,,,,○,,1%,,
912,ニードロップ（腹）,Knee Drop (Stomach),ラフ,馬力,ラフ,ラフ,5,2,1,,,,,,,,○,,,,
913,ジャンピングニードロップ（顔面）,Jumping Knee Drop (F),瞬発,馬力,飛び,ラフ,5,2,,1,,,,,,○,○,,1%,,
914,ジャンピングニードロップ（腹）,Jumping Knee Drop (S),瞬発,馬力,飛び,ラフ,5,2,1,,,,,,,,○,,,,
915,ダブルニープレス（顔面）,Double Knee Press (F),ラフ,馬力,ラフ,ラフ,6,3,,1,,,,,,,,,1%,,
916,ダブルニープレス（腹）,Double Knee Press (S),ラフ,馬力,ラフ,ラフ,6,3,1,,,,,,,,○,,,,
917,ニースタンプ（腕）,Knee Stamp (Arm),ラフ,馬力,ラフ,ラフ,1,1,,,4,,,,,,○,,,,
918,キングコングニードロップ,King Kong Knee Drop,瞬発,馬力,飛び,ラフ,8,4,2,2,,,,,,○,○,必殺,,,
919,ギロチンドロップ,Guillotine Drop,瞬発,馬力,飛び,飛び,6,2,,2,,,,,,,○,,,,
920,ストンピング（顔面）,Stomping (Face),ラフ,馬力,ラフ,ラフ,2,1,,1,,,,,,○,○,,1%,,
921,ストンピング（腹）,Stomping (Stomach),ラフ,馬力,ラフ,ラフ,3,1,,,,,,,,,,,,,
922,ストンピング（腕）,Stomping (Arm),ラフ,馬力,ラフ,ラフ,1,1,,,2,,,,,,,,,,
923,フェイスカット,Face Cut,ラフ,ラフ,ラフ,ラフ,2,3,,1,,,,,,,○,,,,
924,フットスタンプ,Foot Stomp,瞬発,馬力,飛び,ラフ,6,2,2,,,,,,,,,,,,
925,サッカーボールキック,Soccer Ball Kick,ラフ,蹴り,ラフ,蹴り,5,2,,,,,,,,,○,,,,
926,後頭部に低空ドロップキック,Dropkick (Back Head),瞬発,ラフ,ラフ,蹴り,7,4,,4,,,,○,,○,○,,,,
927,大鎌攻撃,Scythe Attack,ラフ,ラフ,ラフ,ラフ,3,5,,,,,,,○,,,,35%,,○
928,コブラクロー,Cobra Claw,ラフ,絞め,ラフ,ラフ,2@,2@,2@,1@,,,,,○,,,,,○,○
929,チョーク攻撃,Choke Attack,ラフ,絞め,ラフ,ラフ,1@,2@,3@,1@,,,,,○,,,,,○,○
930,ギロチンチョーク,Guillotine Choke,総合,ラフ,総合,ラフ,1@,3@,3@,1@,,,,,○,,,,,○,○
