ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
793,凶器攻撃,Weapon Attack,ラフ,ラフ,ラフ,ラフ,2@,3@,,,,,,,○,,,,30%,,○
794,スリーパーホールド,Sleeper Hold,絞め,絞め,絞め,絞め,1@,1@,2@,1@,,,,,○,,,関節,,○,
795,胴絞めスリーパーホールド,Scissors Sleeper,絞め,絞め,絞め,絞め,1@,2@,2@,1@,,,,,○,,,関節,,○,
796,胴絞めチョークスリーパーホールド,Body Choke Sleeper,総合,絞め,総合,絞め,2@,3@,3@,2@,,,,,○,,,関節,,○,
797,コブラクラッチ,Cobra Clutch,絞め,絞め,絞め,絞め,1@,2@,2@,2@,1@,,,,○,,,必殺,,○,
798,ドラゴンスリーパー,Dragon Sleeper,絞め,絞め,絞め,絞め,2@,2@,2@,3@,,,,,○,,,必殺,,○,
799,ショルダークロー,Shoulder Claw,腕力,絞め,絞め,絞め,2@,1@,,,1@,,,,○,,,,,,
800,コブラツイスト,Cobra Twist,絞め,絞め,絞め,絞め,1@,1@,,1@,,2@,,,○,○,,,,○,
801,拷問コブラツイスト,Torture Cobra Twist,絞め,絞め,絞め,絞め,2@,1@,,2@,,3@,,,○,○,,,,○,
802,ストレッチプラム,Stretch Plum,絞め,絞め,絞め,絞め,3@,1@,1@,1@,,3@,,,○,○,,,,○,
803,変型ストレッチプラム,Modified Stretch Plum,絞め,絞め,絞め,絞め,3@,1@,1@,1@,,3@,,,○,○,,,,○,
804,卍固め,Octopus Hold,絞め,絞め,絞め,絞め,2@,2@,1@,3@,2@,,,,○,,○,必殺,,○,
805,コブラクラッチバックブリーカー,Cobra Clutch Back Breaker,絞め,馬力,絞め,絞め,1@,2@,2@,2@,,4@,,,○,,○,,,○,
806,サーフボードストレッチ,Surfboard Stretch,腕力,絞め,絞め,絞め,2@,1@,,,3@,,,,○,,○,,,○,
807,足掛け腕固め,Foothold Arm hold,絞め,テク,絞め,絞め,2@,2@,1@,,3@,,,,○,,○,,,○,
808,チョークスリーパー,Choke Sleeper,ラフ,絞め,ラフ,絞め,10,8,4,2,,,,,○,,,関節,,,
809,チキンウィングフェイスロック,Chickenwing Facelock,関節,関節,関節,関節,1@,2@,,2@,3@,,,,○,,,関節,,○,
810,ビクトル腕十字固め,Victor Cross Armbreaker,関節,テク,関節,テク,1@,2@,,,4@,,,,○,,,関節,,○,
811,逆さ押さえ込み,Backslide,テク,テク,テク,テク,,12,4,,,,,,,,,テク,,,
812,スクールボーイ,School Boy,テク,テク,テク,テク,2,11,4,,,,,,,,,テク,,,
813,高角度前方回転エビ固め,Victory Roll Pinfall,テク,瞬発,テク,テク,4,8,4,,,,,○,,○,○,テク,,,
814,飛びつき後方回転エビ固め,Japanese Leg Roll Clutch,テク,瞬発,テク,テク,6,10,4,,,,,○,,○,○,テク,,,
815,ミステリアス・ラナ,Mysterious Rana,テク,テク,テク,テク,5,12,4,,,,,○,,○,○,テク,,,
817,垂直落下式リバースＤＤＴ,Sheer-Drop Reverse DDT,馬力,瞬発,叩き,叩き,24,8,,13,,,,○,○,,○,必殺,,,
818,フェイントスタナー,Feint Stunner,馬力,瞬発,叩き,叩き,26,8,,8,,,,○,○,,○,必殺,,,
819,フルネルソンバスター,Full Nelson Buster,腕力,馬力,叩き,叩き,25,3,,2,,8,,,○,○,,必殺,,,
820,コブラクラッチバスター,Cobra Clutch Buster,馬力,瞬発,叩き,叩き,27,7,1,6,,2,,○,○,,○,必殺,,,
821,リバースフランケンシュタイナー,Reverse Frankensteiner,瞬発,馬力,叩き,叩き,23,8,,14,,,,○,,○,○,パワ,,,
822,リバースフェイスバスター,Reverse Face Buster,馬力,ラフ,叩き,叩き,24,9,,6,,,,,○,○,○,必殺,,,
823,リバースパワーボム,Reverse Powerbomb,腕力,馬力,叩き,叩き,25,7,,,,,,,○,,○,パワ,,,
824,リバースダブルリストアームソルトホールド,Reverse Arm Sault Hold,投げ,瞬発,投げ,投げ,27,7,,12,,,,○,○,○,,必殺,,,
825,裏投げ,Uranage,投げ,瞬発,投げ,投げ,26,5,,10,,,,,○,○,,必殺,,,
826,高速バックドロップ,Rapid Backdrop,投げ,瞬発,投げ,投げ,25,7,,8,,,,○,○,○,,必殺,,,
827,高角度抱え式バックドロップ,Vertical Leg Lift Backdrop,投げ,腕力,投げ,投げ,26,3,,7,,2,,○,○,,○,必殺,,,
828,ぶっこ抜きバックドロップ,Uproot Backdrop,投げ,瞬発,投げ,投げ,28,4,,10,,,,○,○,○,,必殺,,,
829,地獄バックドロップ,Hell Backdrop,投げ,瞬発,投げ,投げ,29,8,,12,,,,○,○,○,,投げ,,,
830,垂直落下式バックドロップ,Sheer-Drop Backdrop,投げ,瞬発,投げ,投げ,28,4,,13,,,,○,○,○,,投げ,,,
831,殺人バックドロップ,Murder Backdrop,投げ,瞬発,投げ,投げ,30,8,,14,,,,○,○,○,,投げ,,,
832,元祖バックドロップ,Original Backdrop,投げ,瞬発,投げ,投げ,32,9,,12,,,,○,○,○,,投げ,,,
833,バックドロップホールド,Backdrop Hold,投げ,瞬発,投げ,投げ,25,3,,7,,1,,○,○,○,,必殺,,,
834,抱え式バックドロップホールド,Leg Lift Backdrop Hold,投げ,腕力,投げ,投げ,25,3,,7,,1,,○,○,,○,必殺,,,
835,ジャーマンスープレックス,German Suplex,投げ,瞬発,投げ,投げ,28,6,,10,,,,○,○,○,,必殺,,,
836,ジャーマンスープレックスホイップ,German Suplex Whip,投げ,瞬発,投げ,投げ,29,7,,12,,,,○,○,○,,投げ,,,
837,投げっ放しジャーマンスープレックス,Fall Away German Suplex,投げ,腕力,投げ,投げ,29,8,,13,,,,○,○,,○,投げ,,,
838,ハイブリッジジャーマンスープレックス,Bridge German Suplex,投げ,瞬発,投げ,投げ,28,8,,12,,,,○,○,○,,必殺,,,
839,ダブルジャーマンスープレックス,Double German Suplexes,投げ,瞬発,投げ,投げ,30,9,,11,,,,○,○,○,,必殺,,,
840,トリプルジャーマンスープレックス,Triple German Suplexes,投げ,瞬発,投げ,投げ,32,9,,13,,,,○,○,○,,必殺,,,
841,ローリングジャーマンスープレックス,Rolling German Suplex,投げ,瞬発,投げ,投げ,30,10,,10,,,,○,○,○,,必殺,,,
842,マヤ式スープレックス,Mayan Suplex,投げ,瞬発,投げ,投げ,28,8,,10,,,,○,○,○,,必殺,,,
843,ローリングマヤ式スープレックス,Rolling Mayan Suplex,投げ,瞬発,投げ,投げ,32,10,,11,,,,○,○,○,,必殺,,,
844,ローリングタイガースープレックス,Rolling Tiger Suplex,投げ,瞬発,投げ,投げ,33,9,,13,,,,○,○,○,,必殺,,,
845,高速ジャーマンスープレックス,Rapid German Suplex,投げ,瞬発,投げ,投げ,27,7,,8,,,,○,○,○,,必殺,,,
846,大回転ジャーマンスープレックス,Throwing German Suplex,投げ,腕力,投げ,投げ,26,8,,2,,,,○,○,,○,必殺,,,
847,高角度ジャーマンスープレックス,Vert German Suplex,投げ,瞬発,投げ,投げ,29,7,,12,,,,○,○,○,,必殺,,,
848,元祖ジャーマンスープレックス,Original German Suplex,投げ,瞬発,投げ,投げ,30,8,,12,,,,○,○,○,,必殺,,,
849,ベリー・トゥ・バック,Belly-to-Back,投げ,瞬発,投げ,投げ,30,8,,13,,,,○,○,○,,投げ,,,
850,連続ベリー・トゥ・バック,Multi Belly-to-Back,投げ,瞬発,投げ,投げ,33,9,,14,,,,○,○,○,,投げ,,,
851,クロスアームスープレックス,Cross Arm Suplex,投げ,瞬発,投げ,投げ,29,8,,13,,,,○,○,○,,必殺,,,
852,タイガースープレックス,Tiger Suplex,投げ,瞬発,投げ,投げ,30,7,,13,,,,○,○,○,,必殺,,,
853,タイガースープレックス’８５,Tiger Suplex '85,投げ,瞬発,投げ,投げ,30,7,,13,,,,○,○,○,,必殺,,,
854,タイガースープレックスホイップ,Tiger Suplex Whip,投げ,瞬発,投げ,投げ,31,8,,14,,,,○,○,○,,投げ,,,
855,高角度タイガースープレックス,Vertical Tiger Suplex,投げ,瞬発,投げ,投げ,31,7,,13,,,,○,○,○,,必殺,,,
856,ハーフネルソンスープレックス,Half Nelson Suplex,投げ,瞬発,投げ,投げ,29,8,,13,,,,○,○,○,,投げ,,,
857,ドラゴンスープレックス,Dragon Suplex,投げ,瞬発,投げ,投げ,30,7,,13,,,,○,○,○,,必殺,,,
858,ドラゴンスープレックスホイップ,Dragon Suplex Whip,投げ,瞬発,投げ,投げ,31,8,,13,,,,○,○,○,,投げ,,,
859,高速フルネルソンスープレックス,Full Nelson Suplex,投げ,瞬発,投げ,投げ,34,8,,14,,,,○,○,○,,投げ,,,
860,スリーパースープレックス,Sleeper Suplex,投げ,瞬発,投げ,投げ,33,8,,15,,,,○,○,○,,投げ,,,
861,コブラクラッチスープレックス,Cobra Clutch Suplex,投げ,瞬発,投げ,投げ,31,9,1,15,,,,○,○,○,,投げ,,,
862,Ｊ．Ｏ．サイクロンスープレックス,JO Cyclone Suplex,投げ,瞬発,投げ,投げ,33,9,,13,,2,,○,,○,○,必殺,,,
