ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
542,頭突き連打,Headbutt Rush,ラフ,馬力,ラフ,ラフ,25,6,,4,,,,○,,○,,,1%,,
543,一本足頭突き連打,Leg-Lift Headbutt Rush,ラフ,馬力,ラフ,ラフ,26,7,,4,,,,○,,○,,,1%,,
544,テキサスジャブ,Texas Jab,ラフ,突き,ラフ,突き,20,6,,3,,,,,○,○,,,,,
545,ディスカッションパンチ,Discus Punch,ラフ,突き,ラフ,突き,24,7,,2,,,,,○,○,,必殺,,,
546,振り抜きストレート,Force Straight Punch,ラフ,突き,ラフ,突き,26,8,,4,,,,,○,○,,打撃,1%,,
547,マッハパンチラッシュ,Mach Punch Rush,突き,突き,突き,突き,27,7,,4,2,,,,○,○,,打撃,,,
548,ダイナマイトパンチラッシュ,Dynamite Punch Rush,突き,ラフ,突き,ラフ,28,6,,8,,,,,○,,○,打撃,,,
549,ロシアンフックラッシュ,Russian Hook Rush,突き,総合,突き,総合,27,7,,8,,,,,○,,○,打撃,,,
550,起き上がり小法師チョップ,Tumbling Chop,突き,突き,突き,突き,21,3,,,,,,,○,○,,,,,
551,ローリング袈裟斬りチョップ,Rolling Kesagiri Chop,突き,突き,突き,突き,26,5,,2,,,,,○,○,,,,,
552,袈裟斬りチョップラッシュ,Kesagiri Chop Rush,突き,馬力,突き,突き,26,3,,8,,,,,○,○,,,,,
553,掌底アッパー,Shoutei Uppercut,突き,突き,突き,突き,25,9,,5,,,,,○,○,,打撃,,,
554,ローリングエルボー,Rolling Elbow,突き,突き,突き,突き,24,4,,6,,,,○,○,○,,打撃,,,
555,ファイナルローリングエルボー,Final Rolling Elbow,突き,突き,突き,突き,27,8,,10,,,,○,○,○,,打撃,,,
556,頭掴みラリアット,Head Pickup Lariat,腕力,馬力,ラリ,ラリ,28,6,,12,,,,,○,,○,必殺,,,
557,ステップ延髄ニールキック,Step Kneel Kick,蹴り,蹴り,蹴り,蹴り,16,2,,4,,,,○,,○,○,,,,
558,スクリューハイキック,Screw High Kick,蹴り,瞬発,蹴り,蹴り,20,4,,7,,,,○,,○,○,,,,
559,回転地獄蹴り,Rolling Inferno Kick,瞬発,蹴り,蹴り,蹴り,20,6,,,,,,○,,○,○,,,,
560,アメリカンパンチラッシュ,American Punch Rush,ラフ,突き,ラフ,突き,24,5,,4,,,,,○,○,,,,,
561,サイバーブロー,Cyber Blow,突き,ラフ,突き,ラフ,28,6,,6,,,,,○,,○,打撃,,,
562,サイバーニーリフト,Cyber Knee Lift,蹴り,蹴り,蹴り,蹴り,28,5,,8,,,2,,,○,○,打撃,,,
563,サイバーマシンガンキック,Cyber Auto Kicks,蹴り,蹴り,蹴り,蹴り,28,5,,8,,,,,,○,○,打撃,,,
564,高速マシンガンキック,Rapid Auto Kicks,蹴り,蹴り,蹴り,蹴り,28,5,,8,,,,,,○,○,打撃,,,
565,正拳突きラッシュ,Karate Punch Rush,突き,突き,突き,突き,29,3,,,,,,,○,○,,必殺,,,
566,ハイキックラッシュ,High Kick Rush,蹴り,蹴り,蹴り,蹴り,28,5,,8,,,,,,○,○,打撃,,,
567,バックスピンキックラッシュ,Back Spin Kick Rush,蹴り,突き,蹴り,突き,29,5,,4,,,,○,○,,○,打撃,,,
568,ローリングソバットラッシュ,Rolling Solebutt Rush,瞬発,蹴り,蹴り,蹴り,26,6,,2,,,,○,,○,○,,,,
569,喧嘩屋ラッシュ,Kenka Rush,ラフ,蹴り,ラフ,蹴り,24,10,,7,,,,,,,,打撃,,,
570,掌底コンビネーション,Shoutei Combination,蹴り,突き,蹴り,突き,28,5,,8,,,,,○,,○,打撃,,,
571,ハイキックコンビネーション,High Kick Combo,蹴り,蹴り,蹴り,蹴り,28,5,,4,,,4,,,○,○,打撃,,,
572,Ｗハイキックコンビネーション,W High Kick Combo,蹴り,蹴り,蹴り,蹴り,28,5,,8,,,,,,○,○,打撃,,,
573,ソバットコンビネーション,Solebutt Combination,蹴り,蹴り,蹴り,蹴り,28,5,,4,,,2,○,,○,○,打撃,,,
574,バックスピンコンビネーション,Back Spin Combo,蹴り,突き,蹴り,突き,28,8,,,,,2,○,,,,打撃,,,
575,踵落としコンビネーション,Axe Kick Combo,蹴り,馬力,蹴り,蹴り,29,5,,,,,4,,,○,○,必殺,,,
576,ライトニングコンビネーション,Lightning Combo,蹴り,突き,蹴り,突き,22,6,,2,,,12,,○,,○,打撃,,,
577,突き放しハイキック,Extrusion High Kick,蹴り,蹴り,蹴り,蹴り,26,6,,10,,,,,○,,○,打撃,,,
578,飛び膝蹴りラッシュ,Jump Knee Kick Rush,蹴り,瞬発,蹴り,蹴り,28,5,,8,,,,,,○,○,打撃,,,
579,ダイナマイトニーリフト,Dynamite Knee Lift,馬力,蹴り,叩き,蹴り,28,8,2,,,,,,,○,○,打撃,,,
580,噛みつき,Bite,ラフ,ラフ,ラフ,ラフ,2@,3@,,,,,,○,,,,,25%,,○
581,凶器攻撃,Weapon Attack,ラフ,ラフ,ラフ,ラフ,2@,3@,,,,,,,○,,,,30%,,○
582,コブラクロー,Cobra Claw,ラフ,絞め,ラフ,ラフ,2@,2@,2@,1@,,,,,○,○,,,,○,○
583,マンディブルクロー,Mandible Claw,ラフ,絞め,ラフ,絞め,1@,4@,3@,,,,,,○,,,必殺,,○,
584,スリーパーホールド,Sleeper Hold,絞め,絞め,絞め,絞め,1@,1@,2@,1@,,,,,○,,,関節,,○,
585,胴絞めスリーパーホールド,Scissors Sleeper,絞め,絞め,絞め,絞め,1@,2@,2@,1@,,,,,○,,○,関節,,○,
586,フロントネックロック,Front Necklock,絞め,腕力,絞め,絞め,1@,1@,1@,2@,,,,,○,,,必殺,,○,
587,後転ネックロック,Back Roll Neck Lock,絞め,腕力,絞め,絞め,1@,2@,2@,3@,,,,,○,,,関節,,○,
588,ベアハッグ,Bear Hug,腕力,絞め,絞め,絞め,2@,1@,1@,,,4@,,,○,○,,,,○,
589,コブラツイスト,Cobra Twist,絞め,絞め,絞め,絞め,1@,1@,,1@,,2@,,,○,○,,,,○,
590,拷問コブラツイスト,Torture Cobra Twist,絞め,絞め,絞め,絞め,2@,1@,,2@,,3@,,,○,○,,,,○,
591,ストレッチプラム,Stretch Plum,絞め,絞め,絞め,絞め,3@,1@,1@,1@,,3@,,,○,○,,,,○,
592,変型ストレッチプラム,Modified Stretch Plum,絞め,絞め,絞め,絞め,3@,1@,1@,1@,,3@,,,○,○,,,,○,
593,卍固め,Octopus Hold,絞め,絞め,絞め,絞め,2@,2@,1@,3@,2@,,,,○,,○,必殺,,○,
594,グラウンド卍固め,Ground Octopus Hold,絞め,テク,絞め,テク,3@,1@,1@,2@,2@,,,○,○,,○,必殺,,○,
595,メキシカンストレッチ,Mexican Stretch,絞め,テク,絞め,テク,2@,2@,2@,3@,2@,,,,○,,○,必殺,,○,
596,カナディアンバックブリーカー,Canadian Backbreaker,腕力,絞め,絞め,絞め,2@,2@,2@,,,4@,,,○,○,○,必殺,,○,
597,アルゼンチンバックブリーカー,Torturerack,腕力,絞め,絞め,絞め,2@,2@,2@,1@,,5@,,,○,○,○,必殺,,○,
598,アルゼンチンバックブリーカードロップ,Torturerack Drop,腕力,絞め,絞め,絞め,2@,2@,2@,1@,,5@,,,○,○,○,必殺,,○,
599,首極め腕卍,Arm Octopus Hold,テク,関節,テク,関節,1@,1@,1@,2@,3@,,,,○,,,関節,,○,
600,飛びつき腕ひしぎ逆十字固め,Flying Cross Armbreaker,関節,テク,関節,テク,1@,2@,,,4@,,,,○,,○,関節,,○,
601,前転式飛びつき腕ひしぎ逆十字,Roll Fly Cross Armbreaker,関節,テク,関節,テク,1@,2@,,,4@,,,,○,,○,関節,,○,
602,脇固め,Wakigatame,テク,関節,テク,関節,1@,1@,,,3@,,,,○,,,関節,,○,
603,ビクトル膝十字固め,Victor Cross Kneebreaker,関節,テク,関節,テク,1@,1@,,,,,4@,,○,,,関節,,○,
604,飛びつきクロスヒールホールド,Flying Cross Heel Hold,関節,テク,関節,テク,1@,1@,,,,,3@,,○,,,関節,,○,
605,ウラカン・ラナ,Huracanrana,瞬発,テク,テク,テク,4,10,4,,,,,○,,○,○,テク,,,
606,フランケンシュタイナー,Frankensteiner,瞬発,テク,テク,テク,10,10,4,2,,,,○,,○,○,テク,,,
607,高角度前方回転エビ固め,Victory Roll Pinfall,テク,瞬発,テク,テク,4,8,4,,,,,○,,○,○,テク,,,
608,スモールパッケージホールド,Small Package Hold,テク,テク,テク,テク,,12,4,,,,,,,,,テク,,,
609,逆さ押さえ込み,Backslide,テク,テク,テク,テク,,12,4,,,,,,,,,テク,,,
610,グラウンドコブラツイスト,Ground Cobra Twist,テク,テク,テク,テク,2,12,4,,,,,,,,,テク,,,
611,サイドクラッチ,Side Clutch,テク,テク,テク,テク,,12,4,,,,,,,,,テク,,,
612,ローリングクレイドル,Rolling Cradle,テク,テク,テク,テク,12,18,6,,,,,,○,○,○,,,,
613,エッフェル・ド・パラシュート,Eiffel D'Parachute,瞬発,馬力,飛び,叩き,28,8,3,2,,2,,,○,○,○,必殺,,,
614,超長滞空ブレーンバスター,Delayed Long Brainbuster,投げ,腕力,投げ,投げ,20,6,,,,6,,○,○,,○,,,,
615,垂直落下式ブレーンバスター,Vertical Brainbuster,投げ,瞬発,投げ,投げ,24,4,,13,,,,○,○,,○,必殺,,,
616,長滞空垂直落下式ブレーンバスター,Delayed Vertical Brainbuster,馬力,瞬発,叩き,叩き,28,9,,14,,,,,○,○,○,必殺,,,
617,ブレイジングトルネード,Blazing Tornado,馬力,瞬発,叩き,叩き,30,8,,17,,,,,○,○,○,必殺,,,
618,捻り式ベリー・トゥ・ベリー,Turn Belly-to-Belly,馬力,瞬発,叩き,投げ,26,6,2,4,,6,,,○,○,○,必殺,,,
619,元祖カッター,Original Cutter,瞬発,馬力,叩き,叩き,17,4,,8,,,,○,○,,,,,,
620,メキシカンカッター,Mexican Cutter,瞬発,馬力,叩き,叩き,26,8,,10,,,,,○,○,○,必殺,,,
621,ハワイアンスマッシャー,Hawaiian Smasher,瞬発,馬力,叩き,叩き,24,6,,10,,,,,○,○,○,,,,
622,ハイジャンプフェイスバスター,High Jump Face Buster,瞬発,腕力,叩き,叩き,22,9,,8,,,,,○,○,○,必殺,,,
623,カッター,Cutter,瞬発,馬力,叩き,叩き,24,8,1,8,,,,,○,,○,必殺,,,
624,スタナー,Stunner,馬力,瞬発,叩き,叩き,28,9,,10,,,,,○,○,,必殺,,,
625,バックフリップ,Backflip,馬力,瞬発,叩き,叩き,24,2,,,,8,,,○,○,○,パワ,,,
626,カナディアンロッキーバスター,Canadian Buster,馬力,瞬発,叩き,叩き,24,6,2,,,8,,○,○,,○,必殺,,,
627,デスバレーボム,Death Valley Bomb,馬力,瞬発,叩き,叩き,30,6,1,10,,,,,○,○,○,必殺,,,
628,スパイシードロップ,Spicy Drop,馬力,瞬発,叩き,叩き,26,7,2,6,,,,,○,,○,必殺,,,
