ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
750,延髄ヘッドバット,Enzui Headbutt,ラフ,馬力,ラフ,ラフ,15,4,,2,,,,○,,○,,,,,
751,ネックスマッシュ,Neck Smash,突き,突き,突き,突き,15,3,,5,,,,,○,○,,,,,
752,スレッジハンマー,Sledgehammer,腕力,突き,突き,突き,16,2,,4,,,,,○,○,,,,,
753,バックレバーブロー,Back Liver Blow,突き,突き,突き,突き,12,5,1,,,,,,○,○,,,,,
754,コマンドエルボー,Command Elbow,ラフ,突き,ラフ,突き,12,3,1,,,,,,○,○,,,,,
755,裏関節蹴り,Knee Kick,ラフ,テク,テク,ラフ,2,5,,,,,9,,,,○,関節,,,
756,ミドルキック,Middle Kick,蹴り,蹴り,蹴り,蹴り,13,2,,,,7,,,,○,○,,,,
757,バックソバット,Back Solebutt,瞬発,蹴り,蹴り,蹴り,16,3,,,,5,,○,,○,○,,,,
758,延髄ハイキック,Enzui High Kick,蹴り,蹴り,蹴り,蹴り,16,5,,6,,,,,,○,○,必殺,,,
759,延髄ニールキック,Enzui Kneel Kick,蹴り,瞬発,蹴り,蹴り,18,4,,8,,,,○,,○,○,必殺,,,
760,レッグトリップ,Leg Trip,テク,テク,テク,テク,2,7,,,,,,,,,,,,,
761,急所パンチ,Low Blow,ラフ,腕力,ラフ,ラフ,6,12,,,,,,,○,○,,必殺,,,○
1674,顔面パンチ,Face Punch,総合,突き,総合,突き,16,3,,3,,,,,○,○,,,1%,,
2100,引き倒し,Pull Down,ラフ,腕力,ラフ,叩き,16,2,,3,,,,,○,,,,,,
2101,ハイアングルドロップキック,High Angle Drop Kick,瞬発,蹴り,飛び,蹴り,15,5,,3,,,,○,,○,○,,,,
2102,レインメーカースルー,Rainmaker Through,テク,テク,テク,テク,6,8,,,,,,,,,,,,,
2266,エルボースマッシュ,Elbow Smash,突き,突き,突き,突き,13,6,1,,,,,,○,○,,,,,
