ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
1062,ヘッドドロップ（腰）,Head Drop (Back),ラフ,馬力,ラフ,ラフ,1,2,,,,4,,○,,,,,,,
1063,エルボードロップ,Elbow Drop,ラフ,馬力,ラフ,ラフ,3,1,,,,,,,○,,,,,,
1064,ジャンピングエルボードロップ,Jumping Elbow Drop,瞬発,馬力,突き,突き,4,2,,,,,,,○,,○,,,,
1065,足掛け膝砕き,Foothold Kneebreaker,ラフ,馬力,ラフ,ラフ,1,2,,,,,6,,○,,○,,,,
1066,ニードロップ（腰）,Knee Drop (Back),ラフ,馬力,ラフ,ラフ,1,2,,,,4,,,,,○,,,,
1067,ダブルニープレス（腰）,Double Knee Press (B),ラフ,馬力,ラフ,ラフ,1,3,,,,5,,,,,○,,,,
1068,ニースタンプ（脚）,Knee Stamp (Knee),ラフ,馬力,ラフ,ラフ,1,2,,,,,4,,,,○,,,,
1069,ストンピング（腰）,Stomping (Back),ラフ,馬力,ラフ,ラフ,1,1,,,,2,,,,○,○,,,,
1070,ストンピング（脚）,Stomping (Knee),ラフ,馬力,ラフ,ラフ,1,1,,,,,2,,,○,○,,,,
1071,前転キャメルクラッチ,Rolling Camel Clutch,絞め,絞め,絞め,絞め,1@,1@,1@,1@,,2@,,,○,○,,,,○,
1072,ロメロスペシャル,Romero Special,絞め,絞め,絞め,絞め,2@,1@,1@,,1@,,4@,,○,,○,,,○,
1073,ロメロチンロック,Romero Chin Lock,絞め,絞め,絞め,絞め,1@,1@,1@,1@,,1@,2@,,○,,○,,,○,
1074,拷問ロメロスペシャル,Torture Romero Special,絞め,絞め,絞め,絞め,1@,1@,1@,2@,,2@,2@,,○,,○,,,○,
1075,カベルナリア,Kabel Naria,絞め,絞め,絞め,絞め,1@,1@,1@,1@,,1@,2@,,○,,○,,,○,
1076,変型カベルナリア,Modified Kabel Naria,絞め,絞め,絞め,絞め,1@,1@,1@,1@,,1@,2@,,○,,○,,,○,
1077,弓矢固め,Bow and Arrow Hold,絞め,関節,絞め,関節,2@,1@,1@,,,2@,,,○,○,,,,○,
1078,逆エビ固め,Boston Crab,絞め,絞め,絞め,絞め,1@,1@,1@,,,2@,,,○,○,,,,○,
1079,逆エビ反り固め,Elevated Boston Crab,絞め,絞め,絞め,絞め,1@,2@,2@,,,3@,,,○,○,,必殺,,○,
1080,逆片エビ固め,Half Boston Crab,絞め,絞め,絞め,絞め,1@,1@,,,,,2@,,○,○,,,,○,
1081,拷問逆片エビ固め,Torture Half Crab,絞め,関節,絞め,関節,1@,2@,,1@,,1@,1@,,○,○,,,,○,
1082,リバースバイパーホールド,Reverse Viper Hold,絞め,腕力,絞め,絞め,1@,2@,2@,2@,,2@,1@,,○,,,必殺,,○,
1083,ＳＴＦ,STF,関節,絞め,関節,絞め,2@,2@,1@,1@,,,3@,,○,,○,必殺,,○,
1084,クロス式ＳＴＦ,Cross-Style STF,関節,絞め,関節,絞め,2@,2@,1@,1@,,,4@,,○,,○,必殺,,○,
1085,裏ＳＴＦ,Reverse STF,関節,絞め,関節,絞め,2@,2@,1@,1@,,,2@,,○,,○,必殺,,○,
1086,フィッシュストレッチスリーパー,Fish Stretch Sleeper,関節,絞め,関節,絞め,3@,2@,1@,1@,,1@,3@,,○,,○,必殺,,○,
1087,リバースインディアンデスロック,Reverse Indian Deathlock,関節,絞め,関節,絞め,2@,2@,,,,,3@,,,○,○,,,,
1088,鎌固め,Sickle Hold,絞め,関節,絞め,関節,2@,1@,1@,1@,,,2@,,,○,○,,,○,
1089,裏膝十字固め,Reverse Cross Kneebreaker,関節,関節,関節,関節,1@,1@,,,,,3@,,○,,○,関節,,○,
1090,裏アキレス腱固め,Reverse Achilles Hold,関節,関節,関節,関節,1@,1@,,,,,4@,,○,,,必殺,,○,
1091,片エビ固め,Hooked-Leg Pinfall,腕力,腕力,テク,テク,,5,2,,,,,,,,,,,,
1092,エビ固め,Double-Leg Hook Fall,腕力,テク,テク,テク,,5,2,,,,,,,,,,,,
1093,ジャックナイフ固め,Jackknife Hold,テク,テク,テク,テク,,6,2,,,,,,,,,,,,
1094,ラ・マヒストラル,La Magistral,テク,テク,テク,テク,,14,4,,,,,,,,,テク,,,
1095,ジャパニーズレッグロールクラッチ,Japanese Leg Roll Clutch,テク,テク,テク,テク,,10,4,,,,,,,,,テク,,,
1096,外道クラッチ,Gedo Clutch,テク,テク,テク,テク,,12,4,4,,,,,,,,テク,,,
1097,ぶっこ抜きベリー・トゥ・バック,Uproot Belly-to-Back,投げ,瞬発,投げ,投げ,12,7,,8,,,,,○,○,○,,,,
1098,バックマウントポジション,Back Mount Position,総合,テク,総合,テク,,7,,,,,,,,,,,,,
1099,裏足４の字固め,Reverse Figure 4,絞め,関節,絞め,関節,1@,1@,,,,,5@,,,,○,必殺,,○,
1740,イングランドストレッチ,England Stretch,絞め,絞め,絞め,絞め,2@,2@,1@,1@,,1@,3@,,○,,○,必殺,,○,
1741,アンクルホールド,Ankle Hold,関節,関節,関節,関節,1@,1@,,,,,4@,,○,,,必殺,,○,
2133,ぶっこ抜きジャーマンスープレックス,Uproot German Suplex,投げ,瞬発,投げ,投げ,13,6,,8,,,,,○,○,○,必殺,,,
2134,両膝砕き,Double Kneebreaker,ラフ,腕力,ラフ,ラフ,1,2,,,,,8,,○,○,,,,,
6152,ステルス・バイパー,Stealth Viper,絞め,関節,絞め,関節,2@,2@,2@,3@,,,1@,,○,,○,必殺,,○,
6153,あずみ寿司,Azumi Sushi,テク,テク,テク,テク,,14,4,,,,,,,,,テク,,,
6154,飯田橋,Iidabashi,テク,馬力,テク,テク,,11,5,,,,,,,,,テク,,,
