ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
301,エルボースイシーダ,Elbow Suicida,瞬発,突き,飛び,突き,22(10),10(8),,8,,,(6),○,○,,○,,,,
302,スワンダイブミサイルキック,Swan Dive Missile Kick,瞬発,蹴り,飛び,蹴り,23(10),10(8),,,,(6),,○,,○,○,,,,
303,トペ・スイシーダ,Tope Suicida,瞬発,馬力,飛び,叩き,25(10),10(8),,,,,(6),○,,○,○,,,,
304,トペ・コン・ヒーロ,Tope con Giro,瞬発,馬力,飛び,叩き,28(10),11(8),,,,(8),,○,,○,○,,,,
305,プランチャ・スイシーダ,Plancha Suicida,瞬発,馬力,飛び,叩き,24(8),8(6),,,,,(6),○,,○,○,,,,
306,トルニージョ,Tornillo,瞬発,馬力,飛び,叩き,25(10),12(8),,,,,(7),○,,○,○,,,,
307,スワンダイブプランチャ,Swan Dive Plancha,瞬発,馬力,飛び,叩き,26(10),10(8),,,,,(7),○,,○,○,,,,
308,宇宙人プランチャ,Spaceman Plancha,瞬発,馬力,飛び,叩き,26(10),11(8),,,,,(7),○,,○,○,,,,
309,宇宙人ケブラーダ,Spaceman Quebrada,瞬発,馬力,飛び,叩き,26(10),14(8),,,,,(7),○,,○,○,,,,
310,側転プランチャ,Cartwheel Plancha,瞬発,馬力,飛び,叩き,27(10),10(8),,,,,(7),○,,○,○,,,,
311,側転捻りプランチャ,Cartwheel Twist Plancha,瞬発,馬力,飛び,叩き,26(10),12(8),,,,,(6),○,,○,○,,,,
312,側転式ラ・ケブラーダ,Cartwheel La Quebrada,瞬発,馬力,飛び,叩き,27(12),13(10),,,,,(8),○,,○,○,,,,
313,側転式トペ・コン・ヒーロ,Cartwheel Tope con Giro,瞬発,馬力,飛び,叩き,28(11),14(10),,,,(8),,○,,○,○,,,,
1591,飛ぶ振り,Feint Jump,テク,テク,テク,テク,,,,,,,,,,,,,,,
